doi,material,bet_surface_area_m2_g,pressure_bar,adsorption_temperature_K,pore_volume_cm3_g,year,material_taxonomy,co2_capacity_mg_g
10.1016_j.carbon.2014.09.042,HTC-K1-T7,1977.0,1.0,273.15,1.13,2014.0,rGO-based composite,171.6
10.1016_j.carbon.2014.09.042,HTC-K1-T7,1977.0,1.0,298.15,1.13,2014.0,rGO-based composite,105.6
10.1016_j.carbon.2014.09.042,HTC-K1-T8,1013.0,1.0,273.15,0.56,2014.0,rGO-based composite,215.6
10.1016_j.carbon.2014.09.042,HTC-K1-T8,1013.0,1.0,298.15,0.56,2014.0,rGO-based composite,132.0
10.1016_j.carbon.2014.09.042,HTC-K4-T7,1844.0,1.0,273.15,1.15,2014.0,rGO-based composite,162.8
10.1016_j.carbon.2014.09.042,HTC-K4-T7,1844.0,1.0,298.15,1.15,2014.0,rGO-based composite,114.4
10.1016_j.carbon.2014.09.042,HTC-K4-T8,1271.0,1.0,273.15,1.09,2014.0,rGO-based composite,180.4
10.1016_j.carbon.2014.09.042,HTC-K4-T8,1271.0,1.0,298.15,1.09,2014.0,rGO-based composite,110.0
10.1016_j.carbon.2014.09.042,HTC-T8,567.0,1.0,273.15,0.66,2014.0,rGO-based composite,132.0
10.1016_j.carbon.2014.09.042,HTC-T8,567.0,1.0,298.15,0.66,2014.0,rGO-based composite,110.0
10.1016_j.jcou.2022.102371,HPCM-500,,1.0,273.0,0.4629999999999999,2022.0,Graphene composite,105.6
10.1016_j.jcou.2022.102371,HPCM-900,,1.0,273.0,0.439,2022.0,Graphene composite,149.6
10.1016_j.jece.2021.105839,Graphene nanosheets prepared from solid waste,,0.5,273.0,,2021.0,Graphene non-composite,215.16
10.1016_j.jece.2021.105839,Graphene nanosheets prepared from solid waste,,0.5,303.0,,2021.0,Graphene non-composite,203.28
10.1016_j.jece.2021.105839,Graphene nanosheets prepared from solid waste,,0.5,373.0,,2021.0,Graphene non-composite,127.16
10.1016_j.micromeso.2019.109761,Cu-BTC,1760.0,1.0,273.15,0.83,2019.0,GO-based composite,421.96
10.1016_j.micromeso.2019.109761,Cu-BTC,1760.0,1.0,298.15,0.83,2019.0,GO-based composite,234.52
10.1016_j.micromeso.2020.110786,Core shell ZIF-8@ZIF-67,1490.0,1.0,273.0,0.93,2020.0,rGO non-composite,70.84
10.1016_j.ijhydene.2017.12.070,GO,,1.0,273.0,,2018.0,GO non-composite,51.11805121798875
10.1016_j.ijhydene.2017.12.070,PEI-GO@ZIF-8,,1.0,273.0,,2018.0,GO non-composite,355.392165610779
10.1016_j.ijhydene.2017.12.070,ZIF-8,,1.0,273.0,,2018.0,GO-based composite,60.44258053002587
10.1016_j.seppur.2023.123448,GO-3,,1.0,298.0,,2023.0,GO-based composite,96.8
10.1016_j.jcou.2015.12.001,GPN,94.0,1.0,273.15,,2015.0,Graphene non-composite,35.948
10.1016_j.jcou.2015.12.001,GPN-200,185.0,1.0,273.15,0.268,2015.0,Graphene non-composite,65.604
10.1016_j.jcou.2015.12.001,GPN-400,302.0,1.0,273.15,0.435,2015.0,Graphene non-composite,87.208
10.1016_j.jcou.2015.12.001,GPN-600,388.0,1.0,273.15,0.547,2015.0,Graphene non-composite,110.704
10.1016_j.jcou.2015.12.001,GPN-800,484.0,1.0,273.15,0.6819999999999999,2015.0,Graphene non-composite,127.336
10.1016_j.jcou.2021.101666,CF,434.15,0.15,273.15,0.22,2021.0,GO-based composite,71.28
10.1016_j.jcou.2021.101666,CF,434.15,0.15,298.15,0.22,2021.0,GO-based composite,40.48
10.1016_j.jcou.2021.101666,CF,434.15,1.0,273.15,0.22,2021.0,GO-based composite,163.24
10.1016_j.jcou.2021.101666,CF,434.15,1.0,298.15,0.22,2021.0,GO-based composite,109.12
10.1016_j.cej.2020.124022,10UV-GOF,,1.0,298.15,,2020.0,GO non-composite,80.52000000000001
10.1016_j.cej.2020.124022,5UV-GOF,,1.0,298.15,,2020.0,GO non-composite,72.16
